comp_range,fund(s),company,ownership,role_title,seniority,remote_scope,posted_date,ats_link
"$250,000–$320,000","Lightspeed, a16z",Backstory,Private,VP of People,vp,Remote (US),2026-05-21,https://jobs.lever.co/people-ai/145cfacf-3f14-4d32-8a63-8b04c7e83908?lever-source%5B%5D=portfoliojobs.a16z.com
"$170,000–$265,000",Sequoia,LangChain,Private,Head of People Operations,director,Remote (US),2026-06-11,https://jobs.ashbyhq.com/langchain/f166d46a-de9a-4c60-a275-496359dd650e?utm_source=jobs.sequoiacap.com
"$191,120–$242,650",a16z,Omada Health,Private,"Director, HR Business Partnering and Organizational Design",director,Remote (US),2026-06-09,https://job-boards.greenhouse.io/omadahealth/jobs/7983680
"$192,825–$214,250",Lightspeed,evermore,Private,Head of People and Talent,director,Remote (US),2026-06-24,https://job-boards.greenhouse.io/evermore/jobs/4691895006
"$184,226–$214,231",a16z,Cowboy Space Corporation,Private,Head of Talent Acquisition,"director, mid",Remote (US),2026-05-30,https://jobs.ashbyhq.com/cowboyspace/e6315e9f-a1f2-468e-a018-713164b753d2?utm_source=portfoliojobs.a16z.com
"$160,000–$210,000","Lightspeed, a16z",Alchemy,Private,Business Recruiter,mid,Remote (US),2026-06-16,https://jobs.ashbyhq.com/alchemy/892e61fa-4d9c-4e83-8886-aad899f8b77b?utm_source=portfoliojobs.a16z.com
"$160,000–$210,000","Lightspeed, a16z",Alchemy,Private,Technical Recruiter,mid,Remote (US),2026-06-16,https://jobs.ashbyhq.com/alchemy/07f23db8-28b1-4916-8209-0cb0e1de3fad?utm_source=portfoliojobs.a16z.com
"$160,000–$205,000","General Catalyst, IVP, Lightspeed, Sequoia",Chainguard,Private,Technical Recruiting Manager,manager,Remote (US),2026-06-22,https://job-boards.greenhouse.io/chainguard/jobs/4691012006
"$158,100–$204,600",Battery,Check,Private,Lead Recruiter,"mid, senior",Remote (US),2026-05-05,https://jobs.ashbyhq.com/check-technologies/9799361f-d54c-4ce9-af3d-e437febbb83e?utm_source=jobs.battery.com
"$160,000–$200,000","Accel, Bessemer, Sequoia",CaptivateIQ,Private,"Senior Manager, Recruiting",manager,Remote (US),2026-06-10,https://jobs.lever.co/captivateiq/a7f20240-a485-4839-8b90-4a57bc23b473?lever-source%5B%5D=jobs.bvp.com
"$131,300–$196,900","GV, Kleiner Perkins, Sequoia, a16z",Harvey,Private,Recruiting Operations Manager,manager,Remote (US),2026-06-22,https://jobs.ashbyhq.com/harvey/193bfe38-f303-45e0-8664-5e7220de3e1c?utm_source=jobs.kleinerperkins.com
"$172,500–$196,000",Bessemer,TRM Labs,Private,Lead Technical Recruiter,"mid, senior",Remote (US),2026-07-08,https://jobs.ashbyhq.com/trm-labs/ec9943f9-582b-4aeb-8ec4-081ce7ddfce3?utm_source=jobs.bvp.com
