fit_score,funds,company,role_title,seniority,years_req,remote_scope,posted_date,comp_range,stage,ownership,location,domain_note,ats_link
5,a16z (Andreessen Horowitz),SpotOn,VP of Product Management,vp,10+ (exec),on_site,2026-08-31,"$275,000–$320,000",1000+ employees,private (VC-backed),"Chicago, Illinois; Austin, Texas",SMB payments & POS (a Square/Block peer) — direct payments-product match.,https://jobs.ashbyhq.com/Spoton/1bebdd63-4f3f-4651-b1bd-d9bf446caaa0?utm_source=portfoliojobs.a16z.com
5,Insight Partners,NYMBUS,"SVP, Product Management, Origination",vice_president,10+ (exec),remote,2026-08-27,"$165,000–$180,000",undisclosed,private (VC-backed),United States; North America,Banking-as-a-service / core & digital banking SaaS for financial institutions — direct fintech-platform fit; role is remote.,https://boards.greenhouse.io/nymbusinc/jobs/6164297004
5,Insight Partners,NYMBUS,"SVP, Product Management, Core Banking",vice_president,10+ (exec),remote,2026-08-26,"$165,000–$180,000",undisclosed,private (VC-backed),United States; North America,Banking-as-a-service / core & digital banking SaaS for financial institutions — direct fintech-platform fit; role is remote.,https://boards.greenhouse.io/nymbusinc/jobs/6162337004
5,Insight Partners,NYMBUS,"SVP, Product Management, Digital Banking",vice_president,10+ (exec),remote,2026-08-26,"$165,000–$180,000",undisclosed,private (VC-backed),United States; North America,Banking-as-a-service / core & digital banking SaaS for financial institutions — direct fintech-platform fit; role is remote.,https://boards.greenhouse.io/nymbusinc/jobs/6162353004
5,Insight Partners,N26,"Head of Product, Core Banking Systems",director,10+ (exec),on_site,2026-08-13,n/a,series_e,private (VC-backed),"Berlin, Germany; Germany","Digital bank; Head of Product, Core Banking maps to his payments-platform depth (note: Berlin-based).",https://de.linkedin.com/jobs/view/head-of-product-core-banking-systems-at-n26-4451943878
5,Founders Fund; Kleiner Perkins; Lightspeed Venture Partners; Sequoia Capital,Rippling,"Head of Product, Rippling Finance",,10+ (exec),on_site,2026-08-06,n/a,series_g,private (VC-backed),"New York, NY, USA; New York, USA",Rippling Finance = spend/bill-pay/payments inside the HR platform — direct money-movement match to PayPal/Block/Google Payments.,https://ats.rippling.com/rippling/jobs/ffb325ca-a11d-4adb-819f-259fc9dab788
5,NEA,Nitra,VP of Product,vp,10+ (exec),on_site,2026-08-06,"$225,000–$350,000",100-1000 employees,private (VC-backed),"San Francisco, California",Fintech spend/credit card for healthcare providers — payments + his healthcare edge.,https://jobs.lever.co/nitra/ba5ba9a4-819d-488e-9ef0-c63c10e13d88?lever-source%5B%5D=careers.nea.com
5,Bessemer Venture Partners,Upvest,Head of Product - Clients (f/m/d),director,10+ (exec),hybrid,2026-07-15,n/a,100-1000 employees,private (VC-backed),"Berlin, Germany",Investment/trading API (fintech infra) — money-movement platform (EU).,https://jobs.ashbyhq.com/upvest/4234d4fc-01ed-4f4c-8f1a-73dc0e7f555f?utm_source=jobs.bvp.com
5,Sequoia Capital; a16z (Andreessen Horowitz),Mercury,Head of Product - Business Lending,director,10+ (exec),remote,2026-07-02,"$289,700–$362,100",1000+ employees,private (VC-backed),"San Francisco, California; United States","Digital banking for startups; Head of Product, Business Lending = money-movement/credit — dead-center his PayPal/Google-credit work; remote.",https://job-boards.greenhouse.io/mercury/jobs/6106974004
5,Lightspeed Venture Partners,Brigit,Head of Product,director,10+ (exec),remote,2026-07-02,"$230,000–$290,000",100-1000 employees,private (VC-backed),New York,Consumer fintech (cash advance / financial health) — payments/credit core; remote.,https://jobs.ashbyhq.com/brigit/33bf5fb0-1b0b-46e8-ab31-fc1beb706713?utm_source=jobs.lsvp.com
5,a16z (Andreessen Horowitz),Worldcoin,"Head of Product, Device",director,10+ (exec),on_site,2026-07-01,"$327,500–$375,000",100-1000 employees,private (VC-backed),"San Francisco, California",Crypto/Web3 identity + wallet — his crypto/stablecoin domain (note: Device role is hardware-leaning).,https://jobs.ashbyhq.com/Tools%20for%20Humanity/bbea67f0-c460-40c9-83d9-bc01ff2e2a85?utm_source=portfoliojobs.a16z.com
5,Battery Ventures,N26,Head of Product - Lending,director,10+ (exec),on_site,2026-06-08,n/a,1000+ employees,private (VC-backed),"Berlin, Germany","Digital bank; Head of Product, Core Banking maps to his payments-platform depth (note: Berlin-based).",https://n26.com/en-eu/careers/positions/7988511?gh_jid=7988511
5,Accel,Skeps,VP Product,vice_president,10+ (exec),on_site,2026-04-29,n/a,other,private (VC-backed),"Gurugram, Haryana, India; Haryana, India",Embedded point-of-sale lending/BNPL fintech — payments-adjacent core (note: India-based).,https://www.skeps.com/vp-product
5,Insight Partners,Thunes,Head of Product - Core & Growth,director,10+ (exec),on_site,2026-04-16,n/a,series_d,private (VC-backed),Singapore; Asia,Global cross-border payments & remittance network — squarely his PYUSD off-ramp/FX/remittance work.,https://boards.greenhouse.io/thunes/jobs/7697868003
5,NEA,Narmi,VP of Product,vp,10+ (exec),on_site,2026-04-13,"$280,000–$350,000",100-1000 employees,private (VC-backed),New York,Digital-banking platform for banks & credit unions — fintech infrastructure.,https://jobs.gem.com/narmi/am9icG9zdDotbJekt6qw3M9qpSo5k63N?utm_source=careers.nea.com
5,a16z (Andreessen Horowitz),Revolut,Head of Product (Wealth & Trading),director,10+ (exec),remote,2026-01-28,n/a,1000+ employees,private (VC-backed),France; Spain,"Neobank; Head of Product, Wealth & Trading — core fintech/money-movement; remote.",https://www.revolut.com/en-US/careers/position/d55d6d6b-e67f-40b0-8fab-9f02ff86e696/
5,a16z (Andreessen Horowitz),Revolut,Head of Product (Fraud),director,10+ (exec),remote,2025-11-07,"$30,000–$80,000",1000+ employees,private (VC-backed),Poland; Romania,"Neobank; Head of Product, Wealth & Trading — core fintech/money-movement; remote.",https://www.revolut.com/en-US/careers/position/a953a854-e74a-46f6-bed2-5720030a0862/
4,Battery Ventures,Fetcherr,SVP Product,vp,10+ (exec),on_site,2026-08-26,n/a,100-1000 employees,private (VC-backed),Netanya,AI-native dynamic-pricing (Large Market Model) — his applied-AI frontier.,https://www.comeet.com/jobs/fetcherr/68.006/svp-product/04.E62
4,Bessemer Venture Partners,Sixfold,"VP, Product",vp,10+ (exec),on_site,2026-08-17,"$245,000–$285,000",10-100 employees,private (VC-backed),"New York, New York",Generative-AI underwriting for insurance — AI-native + insurtech (fintech-adjacent).,https://job-boards.greenhouse.io/sixfold/jobs/5387559008
4,Flare Capital Partners,HealthVerity,"Senior Vice President, Product",vice_president,10+ (exec),on_site,2026-07-20,"$280,000–$320,000",series_d,private (VC-backed),"Philadelphia, PA, USA; Philadelphia County, PA, USA","Real-world health-data platform sold to payers & pharma — health-data economics, payer-adjacent.",https://boards.greenhouse.io/healthverity/jobs/5363757008
4,Insight Partners,OneTrust,"VP, Product Management - AI Governance",vice_president,10+ (exec),on_site,2026-07-15,"$255,000–$382,500",other,private (VC-backed),"San Francisco, CA, USA; San Francisco County, CA, USA",AI Governance product line maps to his agent-identity / Know-Your-Agent (VCX) work; large private SaaS.,https://www.onetrust.com/careers/vp-product-management-ai-governance-8048601/
